category,storage_type,quantity,purchase_temperature_c,moisture_level,perishability_index,household_usage_speed,shelf_life_days,wasted
milk,fridge,3,1.7,0.934,7.82,0.652,6,0
tomato,fridge,1,2.3,0.722,7.03,0.261,7,1
root vegetables,fridge,3,1.6,0.138,3.5,0.586,23,0
packaged snacks,pantry,5,22.6,0.0,2.02,0.602,63,0
rice (cooked),fridge,6,1.3,0.554,6.72,0.578,4,0
banana,fridge,4,3.9,0.64,8.45,0.762,5,0
packaged snacks,pantry,3,20.3,0.044,1.5,0.577,38,1
fish (raw),freezer,1,-19.9,0.684,10.0,0.515,7,0
eggs,pantry,2,22.4,0.212,2.14,0.42,11,0
bread,fridge,3,5.8,0.166,7.2,0.95,4,0
milk,fridge,4,6.9,0.902,8.88,0.525,6,0
berries,fridge,4,4.4,0.801,9.17,0.201,5,1
apple,fridge,1,3.4,0.421,3.98,0.254,18,0
root vegetables,fridge,5,3.7,0.245,2.99,0.375,24,0
berries,freezer,4,-18.8,0.78,9.02,0.557,17,0
leafy greens,pantry,2,26.1,0.839,8.36,0.506,3,0
apple,pantry,1,25.2,0.476,4.68,0.21,9,1
tomato,fridge,4,4.6,0.688,7.04,0.844,7,0
cheese,fridge,3,4.3,0.394,3.25,0.0,14,0
rice (cooked),pantry,6,21.3,0.514,7.69,0.754,2,0
banana,fridge,5,5.4,0.552,7.86,0.581,5,0
cheese,fridge,6,5.1,0.369,3.32,0.642,25,0
citrus,freezer,3,-16.8,0.406,4.07,0.874,50,0
banana,freezer,4,-17.4,0.488,8.72,0.893,17,0
chicken (raw),freezer,4,-17.4,0.681,8.95,0.515,7,0
eggs,pantry,4,24.5,0.172,2.4,0.812,13,0
milk,freezer,3,-17.3,0.838,7.9,0.858,25,0
milk,fridge,1,3.3,0.957,7.68,0.351,6,1
milk,freezer,1,-19.7,0.889,7.2,0.509,26,1
bread,fridge,3,4.6,0.303,7.06,0.551,5,0
berries,freezer,4,-19.0,0.861,9.79,0.473,18,0
chicken (raw),freezer,4,-16.0,0.692,10.0,0.875,7,0
rice (cooked),fridge,1,4.0,0.513,6.88,0.243,4,1
berries,pantry,4,22.6,0.766,9.69,0.388,3,0
rice (cooked),fridge,1,4.0,0.585,7.24,0.617,4,0
packaged snacks,pantry,2,23.2,0.05,1.74,0.744,46,0
chicken (raw),fridge,1,7.7,0.74,9.79,0.542,2,0
tomato,pantry,4,21.9,0.707,7.18,0.828,4,0
fish (raw),fridge,2,3.8,0.777,10.0,0.785,2,0
root vegetables,fridge,3,3.3,0.271,2.95,0.912,27,0
berries,pantry,2,21.9,0.667,8.31,0.34,4,1
banana,fridge,4,4.8,0.586,7.71,0.495,5,0
packaged snacks,pantry,3,23.9,0.128,1.64,0.123,50,1
cooked leftovers,fridge,3,6.3,0.56,9.15,0.92,4,0
citrus,fridge,4,3.3,0.398,3.94,0.576,16,0
packaged snacks,fridge,4,6.4,0.068,1.0,0.548,93,1
leafy greens,freezer,5,-17.7,0.828,8.8,0.104,17,1
cheese,fridge,2,0.3,0.3,3.62,0.278,23,1
cheese,freezer,3,-18.3,0.369,2.26,0.918,70,0
root vegetables,fridge,4,5.1,0.156,2.46,0.235,23,0
apple,fridge,1,4.7,0.424,3.48,0.542,19,0
citrus,pantry,4,23.5,0.496,4.23,0.31,9,0
root vegetables,fridge,6,2.3,0.316,3.62,0.57,22,1
yogurt,fridge,1,3.5,0.742,5.12,0.186,9,0
chicken (raw),fridge,5,3.2,0.673,9.06,0.816,2,0
banana,pantry,5,24.0,0.55,8.26,0.618,4,0
eggs,pantry,3,22.7,0.22,2.7,0.831,18,0
cooked leftovers,fridge,4,4.4,0.596,8.78,0.84,2,0
berries,pantry,1,25.3,0.785,8.7,0.353,3,1
apple,freezer,5,-15.3,0.468,4.48,0.726,70,0
rice (cooked),fridge,1,4.0,0.437,6.9,0.969,3,0
citrus,pantry,2,23.5,0.439,3.6,0.548,8,0
cheese,freezer,5,-18.5,0.295,3.16,0.585,74,0
root vegetables,fridge,2,4.2,0.253,3.27,0.342,22,0
fish (raw),freezer,3,-19.9,0.563,9.88,0.593,7,0
yogurt,fridge,7,2.3,0.85,5.52,0.125,12,0
eggs,fridge,4,4.6,0.122,1.64,0.24,31,0
cooked leftovers,freezer,3,-19.7,0.553,8.68,0.274,11,1
banana,pantry,1,21.1,0.551,8.51,0.589,3,0
banana,pantry,6,19.5,0.597,7.51,0.36,3,0
milk,freezer,2,-16.3,0.963,7.29,0.223,25,1
bread,fridge,3,4.1,0.266,7.27,0.603,5,0
tomato,pantry,1,24.7,0.583,7.8,0.56,3,0
banana,pantry,5,20.4,0.599,8.0,0.542,2,0
cooked leftovers,fridge,3,3.0,0.575,9.64,0.303,3,1
banana,fridge,1,3.8,0.64,8.6,0.801,5,0
packaged snacks,pantry,4,23.2,0.073,1.0,0.512,33,0
cheese,fridge,1,3.2,0.362,2.93,0.213,17,0
leafy greens,fridge,1,3.3,0.969,8.13,0.56,4,0
root vegetables,fridge,4,3.3,0.263,3.51,0.209,18,0
eggs,fridge,2,2.0,0.252,1.3,0.213,28,1
leafy greens,pantry,3,23.0,0.839,8.28,0.823,2,0
bread,pantry,2,21.0,0.334,6.61,0.507,3,0
packaged snacks,pantry,3,23.9,0.135,2.13,0.776,43,0
eggs,fridge,4,5.3,0.154,3.4,0.571,34,0
packaged snacks,pantry,5,25.2,0.09,1.05,0.734,53,0
cheese,fridge,3,3.5,0.257,2.84,0.529,21,0
tomato,fridge,4,4.7,0.7,7.02,0.597,7,0
fish (raw),fridge,3,3.6,0.595,10.0,0.189,2,1
eggs,fridge,4,2.3,0.221,2.29,0.912,26,0
cooked leftovers,fridge,1,0.9,0.602,8.44,0.866,3,0
chicken (raw),fridge,2,3.0,0.642,10.0,0.922,2,0
berries,fridge,1,3.7,0.834,8.81,0.466,5,0
rice (cooked),fridge,1,6.7,0.621,6.19,0.557,5,0
cheese,fridge,2,2.4,0.36,2.22,0.831,18,0
eggs,fridge,2,3.3,0.146,1.72,0.252,30,1
yogurt,pantry,2,23.7,0.711,6.25,0.622,2,0
chicken (raw),fridge,4,5.5,0.554,10.0,0.822,2,0
fish (raw),freezer,4,-20.0,0.78,9.98,0.223,7,0
chicken (raw),fridge,3,2.7,0.75,10.0,0.466,2,0
chicken (raw),fridge,2,4.2,0.618,9.86,0.82,2,0
eggs,fridge,2,4.2,0.285,1.33,0.562,33,0
cheese,fridge,3,3.6,0.311,2.86,0.266,22,1
tomato,fridge,1,4.5,0.695,6.73,0.568,6,0
fish (raw),pantry,4,22.9,0.644,10.0,0.504,1,0
leafy greens,fridge,4,2.8,0.856,8.97,0.215,5,1
root vegetables,fridge,2,4.2,0.287,2.77,0.684,23,0
chicken (raw),freezer,1,-17.0,0.675,10.0,1.0,7,0
milk,freezer,3,-18.7,0.809,7.7,0.538,25,0
citrus,pantry,2,22.7,0.383,3.3,0.848,7,0
leafy greens,fridge,5,2.6,0.87,9.19,0.264,5,1
cheese,fridge,4,4.1,0.389,3.44,0.83,19,0
root vegetables,freezer,1,-19.6,0.21,3.11,0.884,76,0
leafy greens,fridge,3,4.3,0.889,9.28,0.513,5,0
rice (cooked),pantry,4,23.1,0.667,6.81,0.543,2,0
root vegetables,freezer,2,-19.1,0.215,2.53,0.491,73,0
berries,pantry,2,23.9,0.817,8.6,0.291,2,1
tomato,pantry,3,24.9,0.841,6.15,0.873,4,0
cheese,freezer,2,-17.2,0.38,2.81,0.551,71,0
rice (cooked),fridge,2,4.8,0.586,6.53,0.851,3,0
citrus,fridge,5,3.2,0.391,4.05,0.619,13,1
leafy greens,freezer,7,-18.0,0.851,8.95,1.0,18,0
berries,fridge,1,2.4,0.736,9.79,0.187,5,0
apple,pantry,1,20.9,0.497,4.25,0.846,8,0
packaged snacks,pantry,3,22.9,0.084,1.0,0.084,61,0
milk,fridge,3,4.7,0.939,8.3,0.614,6,0
milk,pantry,4,21.1,0.994,7.73,0.599,4,1
eggs,fridge,2,4.7,0.257,2.6,0.214,37,0
eggs,fridge,5,2.7,0.062,1.78,0.946,31,0
berries,freezer,3,-18.4,0.82,10.0,0.586,18,0
chicken (raw),fridge,1,4.3,0.7,9.55,0.856,2,1
tomato,pantry,1,24.3,0.774,6.9,0.238,5,0
leafy greens,fridge,5,5.1,0.883,9.31,0.36,6,0
cheese,fridge,1,7.8,0.424,3.56,0.833,23,0
yogurt,fridge,6,3.5,0.628,6.25,0.137,11,1
yogurt,freezer,3,-20.9,0.785,5.17,0.591,35,0
yogurt,freezer,1,-17.6,0.715,5.57,0.212,35,0
milk,fridge,5,1.8,0.955,8.68,0.857,8,0
bread,fridge,1,3.1,0.299,7.91,0.533,4,0
eggs,freezer,5,-19.5,0.214,2.5,0.818,107,0
berries,pantry,5,22.2,0.78,9.27,0.758,2,0
leafy greens,fridge,3,2.8,0.828,9.66,0.186,5,1
apple,freezer,4,-17.7,0.488,3.86,0.609,73,1
rice (cooked),fridge,3,4.0,0.591,6.65,0.212,4,1
tomato,fridge,5,4.4,0.75,7.24,0.865,6,0
milk,fridge,3,4.0,0.972,8.28,0.724,7,0
leafy greens,fridge,2,3.9,0.831,9.54,0.238,5,1
fish (raw),fridge,4,4.9,0.732,10.0,0.429,2,0
root vegetables,fridge,3,3.8,0.228,1.96,0.275,25,1
root vegetables,fridge,3,5.7,0.203,3.1,0.563,23,0
packaged snacks,pantry,5,21.8,0.002,1.63,0.349,60,1
leafy greens,pantry,5,26.2,0.873,9.36,0.244,2,1
chicken (raw),fridge,1,2.7,0.6,9.9,0.508,2,0
cheese,fridge,4,4.0,0.397,2.61,0.945,20,0
cheese,freezer,4,-18.1,0.355,2.51,0.835,77,0
rice (cooked),fridge,3,3.9,0.502,6.52,0.176,4,0
chicken (raw),freezer,1,-19.2,0.649,9.71,0.581,7,0
chicken (raw),fridge,2,1.9,0.629,10.0,0.651,2,0
milk,fridge,2,3.6,0.918,8.78,0.32,8,0
apple,fridge,2,1.4,0.438,4.64,0.348,21,1
apple,freezer,1,-17.8,0.47,3.57,0.265,76,1
leafy greens,pantry,1,23.5,0.844,8.97,0.54,3,0
rice (cooked),fridge,2,4.2,0.602,6.46,0.524,4,0
yogurt,freezer,7,-19.9,0.692,5.35,0.492,34,0
milk,fridge,1,5.7,0.952,7.77,0.822,8,0
cheese,fridge,1,2.2,0.382,3.17,0.213,19,1
tomato,fridge,5,3.0,0.609,7.88,0.589,7,0
milk,fridge,1,6.3,0.867,8.25,0.546,7,0
yogurt,freezer,4,-15.8,0.745,5.61,0.505,35,0
rice (cooked),fridge,2,2.5,0.507,7.05,0.824,3,0
banana,fridge,3,4.0,0.523,7.27,0.178,5,1
apple,pantry,2,25.9,0.367,5.25,0.542,9,0
banana,fridge,3,5.8,0.554,7.92,0.807,4,0
banana,fridge,2,6.1,0.618,8.12,0.488,5,0
yogurt,freezer,4,-19.2,0.903,5.46,0.475,33,0
chicken (raw),pantry,2,21.0,0.623,9.58,0.25,1,1
leafy greens,pantry,2,23.2,0.83,8.83,0.165,2,1
berries,fridge,3,5.2,0.772,8.3,0.466,6,0
tomato,pantry,1,25.8,0.7,5.88,0.779,5,0
packaged snacks,pantry,3,21.1,0.018,1.0,0.911,46,0
eggs,pantry,2,21.9,0.063,1.12,0.852,21,0
citrus,pantry,2,25.4,0.421,4.36,0.401,7,0
root vegetables,fridge,3,4.2,0.259,3.98,0.949,21,0
fish (raw),fridge,8,5.5,0.697,9.98,0.836,2,0
bread,freezer,3,-18.7,0.311,7.79,0.516,17,0
chicken (raw),freezer,7,-16.8,0.633,10.0,0.825,7,0
apple,pantry,7,24.5,0.422,3.68,0.551,10,0
apple,pantry,2,23.4,0.445,4.29,0.543,13,0
apple,freezer,2,-16.1,0.444,3.56,0.612,75,1
berries,fridge,3,2.6,0.796,8.77,0.564,5,1
apple,fridge,2,3.6,0.45,4.13,0.44,23,0
banana,fridge,1,4.0,0.464,7.37,0.813,4,0
rice (cooked),fridge,3,2.3,0.505,7.08,0.771,4,0
chicken (raw),freezer,2,-17.1,0.599,9.74,0.259,7,0
chicken (raw),fridge,2,4.4,0.711,10.0,0.792,2,0
apple,fridge,7,5.0,0.477,4.12,0.771,19,0
chicken (raw),freezer,2,-17.2,0.749,9.91,0.576,7,0
leafy greens,freezer,3,-17.6,0.864,8.55,0.448,19,0
fish (raw),fridge,4,4.8,0.728,10.0,0.598,2,0
bread,fridge,1,1.4,0.343,7.09,0.8,4,0
rice (cooked),fridge,2,1.9,0.501,6.64,0.167,4,1
root vegetables,freezer,4,-18.3,0.301,2.79,0.872,73,0
packaged snacks,pantry,1,23.1,0.047,1.35,0.635,55,1
tomato,pantry,1,23.1,0.617,6.08,0.546,3,0
cheese,fridge,5,3.3,0.425,2.46,0.79,18,0
citrus,fridge,4,4.5,0.358,3.33,0.874,16,0
leafy greens,fridge,3,2.7,0.833,9.05,0.847,5,0
rice (cooked),freezer,1,-18.5,0.541,6.81,0.496,14,0
cooked leftovers,fridge,3,5.2,0.572,9.65,0.535,3,0
milk,freezer,2,-18.9,0.931,8.22,0.616,25,0
yogurt,freezer,4,-17.2,0.774,6.35,0.61,35,0
tomato,pantry,1,24.2,0.62,6.84,0.591,5,0
fish (raw),freezer,2,-18.4,0.701,9.98,0.884,7,0
yogurt,freezer,3,-16.9,0.834,6.39,0.855,36,0
bread,pantry,1,21.8,0.283,5.65,0.562,2,0
bread,fridge,5,2.6,0.324,6.36,0.549,4,0
bread,pantry,1,22.6,0.252,6.86,0.503,3,0
milk,freezer,4,-18.8,0.823,7.74,0.532,25,0
tomato,pantry,7,23.6,0.741,6.64,0.108,4,1
eggs,pantry,2,23.1,0.206,2.47,0.482,15,1
cooked leftovers,pantry,6,23.6,0.626,9.94,0.23,1,1
rice (cooked),fridge,3,4.1,0.531,7.55,0.599,4,1
berries,pantry,4,25.2,0.758,9.12,0.584,2,1
banana,pantry,5,25.1,0.597,7.23,0.551,3,0
berries,fridge,4,5.5,0.866,9.44,0.53,4,0
banana,fridge,6,5.5,0.604,7.88,0.888,5,0
cooked leftovers,pantry,5,20.9,0.569,9.54,0.799,2,0
cheese,fridge,5,2.6,0.428,3.19,0.456,22,0
banana,fridge,4,5.3,0.509,8.09,0.197,6,1
cheese,fridge,2,5.6,0.265,3.46,0.9,22,0
bread,fridge,2,3.7,0.369,7.84,0.605,6,0
root vegetables,pantry,4,22.1,0.155,3.17,0.572,12,1
yogurt,fridge,3,4.3,0.71,5.73,0.52,10,0
fish (raw),fridge,2,5.5,0.821,9.31,0.905,2,0
cheese,fridge,4,2.9,0.321,2.77,0.831,19,0
cooked leftovers,pantry,8,24.6,0.597,10.0,0.644,1,0
yogurt,pantry,4,20.7,0.833,5.95,0.95,7,0
cooked leftovers,fridge,2,4.9,0.617,8.88,0.52,3,0
yogurt,fridge,2,1.6,0.75,5.45,0.715,11,0
milk,fridge,8,4.9,0.866,8.04,0.844,8,0
berries,fridge,4,5.9,0.761,8.65,0.887,5,0
rice (cooked),freezer,2,-18.2,0.536,7.24,0.604,14,0
banana,fridge,3,4.4,0.552,8.35,0.57,5,0
berries,freezer,1,-13.7,0.781,9.04,0.517,18,0
tomato,pantry,3,20.4,0.732,8.4,0.806,5,0
milk,fridge,2,3.3,0.89,7.36,0.891,8,0
chicken (raw),fridge,2,5.4,0.672,10.0,0.626,2,0
eggs,freezer,2,-18.1,0.106,2.19,0.227,104,1
citrus,pantry,4,22.3,0.376,4.77,0.309,5,1
cheese,freezer,3,-18.3,0.365,3.49,0.829,75,0
banana,fridge,5,5.7,0.513,7.97,0.532,5,0
milk,fridge,4,2.3,0.852,9.07,0.238,7,0
chicken (raw),fridge,3,4.4,0.743,10.0,0.798,2,0
rice (cooked),pantry,5,20.2,0.493,7.01,0.279,1,1
apple,fridge,2,4.8,0.451,3.49,0.572,22,0
eggs,fridge,1,6.1,0.216,2.62,0.532,25,0
banana,freezer,5,-20.1,0.433,7.47,0.443,18,0
chicken (raw),fridge,3,1.6,0.598,9.48,0.533,2,0
berries,freezer,1,-17.7,0.82,9.16,0.551,17,0
packaged snacks,pantry,8,20.8,0.012,1.0,0.491,51,0
berries,pantry,3,22.9,0.865,8.01,0.852,3,0
yogurt,freezer,7,-18.9,0.709,6.65,0.865,34,0
packaged snacks,pantry,2,22.0,0.065,1.16,0.525,53,0
leafy greens,fridge,5,2.3,0.872,9.6,0.833,5,0
banana,fridge,5,4.4,0.595,8.14,0.268,6,1
leafy greens,pantry,4,22.8,0.925,9.48,0.482,2,0
fish (raw),freezer,2,-18.3,0.71,9.39,0.404,7,1
leafy greens,fridge,5,4.1,0.842,8.98,0.543,5,0
yogurt,freezer,2,-17.1,0.769,6.43,0.804,35,0
chicken (raw),fridge,1,2.8,0.646,9.95,0.649,2,0
cheese,freezer,6,-21.9,0.326,2.8,0.519,71,0
chicken (raw),fridge,4,2.9,0.591,10.0,0.196,2,1
berries,fridge,3,5.2,0.679,9.64,0.793,5,0
berries,fridge,2,2.9,0.763,8.68,0.921,5,0
yogurt,fridge,3,2.5,0.801,5.62,0.179,12,1
cheese,freezer,4,-18.3,0.364,2.81,0.952,69,0
milk,fridge,2,3.0,0.872,8.18,0.287,6,0
fish (raw),fridge,8,2.3,0.649,9.95,0.403,2,0
root vegetables,pantry,2,23.1,0.179,4.18,0.999,11,0
apple,fridge,4,2.5,0.514,3.58,0.698,16,1
berries,fridge,6,4.0,0.844,9.56,0.283,6,1
fish (raw),freezer,2,-17.2,0.864,9.4,0.313,7,1
milk,freezer,1,-19.4,0.97,8.61,0.595,25,0
leafy greens,freezer,5,-19.3,0.798,8.62,0.884,17,0
banana,pantry,5,24.5,0.463,8.56,0.517,3,0
leafy greens,fridge,2,3.7,0.786,8.46,0.833,5,0
tomato,fridge,1,6.1,0.573,7.4,0.502,8,0
tomato,freezer,5,-20.4,0.657,7.64,0.499,24,0
cheese,fridge,1,4.0,0.363,4.05,0.853,22,0
tomato,fridge,3,4.9,0.673,6.53,0.819,7,0
leafy greens,pantry,3,23.9,0.761,9.92,0.817,2,0
chicken (raw),fridge,1,5.7,0.646,9.76,0.278,2,1
root vegetables,fridge,1,2.3,0.254,2.27,0.525,19,0
apple,fridge,4,4.5,0.432,3.7,0.509,23,0
packaged snacks,pantry,4,24.3,0.0,1.0,0.901,55,0
packaged snacks,pantry,5,20.6,0.13,1.09,0.461,44,0
cheese,fridge,4,3.0,0.427,2.96,0.602,25,0
bread,fridge,5,5.9,0.316,7.18,0.153,5,1
fish (raw),fridge,2,3.9,0.617,10.0,0.907,2,0
banana,fridge,1,0.8,0.548,7.49,0.948,5,0
milk,freezer,3,-18.4,0.833,8.2,0.877,24,0
apple,freezer,3,-16.5,0.477,3.99,0.912,72,0
leafy greens,freezer,6,-17.6,0.824,9.38,0.58,19,0
banana,fridge,7,2.9,0.502,8.16,0.362,5,1
packaged snacks,pantry,2,21.6,0.08,1.0,0.907,50,0
root vegetables,fridge,2,2.4,0.266,2.93,0.501,20,1
root vegetables,freezer,1,-17.6,0.34,2.25,0.871,74,0
chicken (raw),fridge,2,4.4,0.557,9.52,0.26,2,0
root vegetables,freezer,1,-19.0,0.216,3.18,0.605,74,0
milk,fridge,2,5.0,0.863,8.16,0.895,4,0
rice (cooked),pantry,5,25.5,0.566,7.22,0.56,2,1
tomato,pantry,2,23.8,0.775,6.15,0.53,5,0
cheese,fridge,3,3.5,0.367,3.59,0.563,22,0
cooked leftovers,fridge,3,3.4,0.605,10.0,0.441,2,1
berries,fridge,3,3.9,0.803,9.42,0.427,5,0
root vegetables,fridge,4,4.5,0.19,1.43,0.547,23,0
berries,fridge,4,2.9,0.809,8.88,0.555,5,0
cheese,fridge,7,3.5,0.378,2.65,0.561,20,0
yogurt,pantry,4,23.6,0.79,5.53,0.46,5,0
berries,freezer,4,-16.3,0.815,9.13,0.605,18,0
milk,freezer,2,-17.6,0.936,8.29,0.211,25,1
berries,freezer,1,-15.5,0.843,8.82,0.846,16,0
citrus,fridge,2,5.7,0.384,3.47,0.693,14,0
citrus,fridge,1,5.3,0.441,3.98,0.545,14,0
banana,pantry,3,24.1,0.488,7.47,0.507,2,0
tomato,fridge,3,3.2,0.709,8.43,0.145,6,1
eggs,fridge,3,0.0,0.183,2.33,0.226,28,1
bread,fridge,3,4.1,0.222,6.34,0.543,3,0
tomato,fridge,2,4.5,0.742,6.78,0.318,7,0
rice (cooked),fridge,4,3.1,0.522,6.97,0.54,3,0
apple,pantry,6,22.3,0.416,4.73,0.774,8,0
root vegetables,pantry,1,20.0,0.199,3.6,0.77,9,0
tomato,fridge,1,5.4,0.732,6.63,0.127,7,1
berries,fridge,2,3.0,0.774,8.89,0.556,5,0
yogurt,freezer,3,-14.8,0.755,5.41,0.59,34,0
citrus,freezer,5,-17.6,0.369,3.86,0.773,50,0
apple,fridge,7,3.9,0.481,4.63,0.514,23,0
rice (cooked),fridge,4,4.5,0.496,7.6,0.563,4,0
rice (cooked),pantry,4,24.7,0.61,7.16,0.803,2,0
packaged snacks,freezer,3,-19.4,0.069,1.0,0.848,330,0
bread,fridge,2,2.8,0.296,6.09,0.487,4,0
yogurt,fridge,3,3.3,0.718,6.06,0.619,10,0
yogurt,fridge,3,3.1,0.757,6.28,0.149,8,1
cooked leftovers,fridge,4,3.3,0.641,8.22,0.853,3,0
tomato,fridge,1,3.6,0.665,7.21,0.88,6,0
apple,fridge,1,2.1,0.379,4.84,0.167,19,1
citrus,fridge,5,5.6,0.38,3.48,0.938,16,0
yogurt,fridge,2,5.1,0.711,5.17,0.401,10,1
citrus,fridge,1,2.5,0.348,4.0,0.799,14,0
leafy greens,fridge,1,3.4,0.854,9.02,0.829,4,0
cheese,fridge,6,5.3,0.316,3.61,0.802,21,0
milk,fridge,1,3.7,0.936,8.65,0.271,6,1
banana,fridge,1,4.0,0.575,7.87,0.789,4,0
cooked leftovers,fridge,6,4.1,0.559,9.45,0.606,4,0
yogurt,fridge,3,5.0,0.759,5.29,0.568,11,0
leafy greens,pantry,3,23.0,0.782,8.73,0.049,3,0
cooked leftovers,fridge,8,1.5,0.606,9.79,0.206,3,0
apple,fridge,3,6.4,0.459,3.55,0.544,27,0
milk,pantry,4,26.1,0.891,9.06,0.277,4,0
packaged snacks,pantry,1,23.0,0.056,1.0,0.649,53,0
tomato,freezer,3,-19.8,0.67,6.89,0.147,23,0
yogurt,fridge,3,4.6,0.787,5.73,0.592,11,0
banana,pantry,8,25.0,0.57,8.51,0.488,2,0
cooked leftovers,pantry,2,24.3,0.565,9.39,0.573,3,0
root vegetables,fridge,3,6.1,0.335,3.74,0.287,17,1
milk,freezer,3,-19.5,0.895,7.25,0.591,25,0
yogurt,fridge,2,4.2,0.726,5.78,0.271,9,1
chicken (raw),fridge,3,5.4,0.739,10.0,0.247,2,1
citrus,freezer,4,-19.1,0.36,4.49,0.781,51,0
leafy greens,fridge,5,4.0,0.904,9.38,0.964,4,0
packaged snacks,pantry,2,23.8,0.078,1.19,0.906,61,0
citrus,pantry,2,23.3,0.41,4.06,0.885,6,0
leafy greens,fridge,1,4.4,0.9,8.59,0.546,6,0
cooked leftovers,fridge,3,4.2,0.696,8.84,0.303,3,1
rice (cooked),fridge,3,3.1,0.554,7.45,0.336,4,0
chicken (raw),fridge,1,6.3,0.707,9.37,0.45,2,0
eggs,freezer,4,-17.6,0.231,2.22,0.457,97,0
yogurt,fridge,4,1.6,0.752,5.46,0.593,12,0
citrus,fridge,4,2.2,0.447,3.4,0.41,14,0
tomato,pantry,2,24.5,0.653,6.66,0.457,4,0
banana,fridge,4,5.7,0.515,7.2,0.199,6,1
eggs,freezer,1,-17.1,0.245,2.28,0.482,94,0
cheese,fridge,4,6.2,0.369,3.46,0.594,18,0
yogurt,fridge,3,3.2,0.751,6.71,0.532,9,0
fish (raw),fridge,1,3.2,0.739,10.0,0.815,2,0
rice (cooked),freezer,5,-17.9,0.503,6.74,0.507,15,0
berries,fridge,2,4.1,0.871,9.41,0.239,5,0
fish (raw),fridge,6,3.7,0.698,9.64,0.559,2,0
yogurt,fridge,3,2.2,0.747,6.84,0.889,11,0
packaged snacks,pantry,3,23.4,0.075,1.0,0.196,54,1
